Type,Post URL,Content,Timestamp,Media URL,Impressions (Organic),Impressions (Paid),Reach (Organic),Reach (Paid),Replies,Taps Back,Taps Forward,Exits
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3183032317106781392",,2023-09-02 17:04,"https://scontent-lcy1-1.cdninstagram.com/v/t51.12442-15/374722644_1259201854595964_2891249843388028121_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=k3ZXj6FEy6AAX-o3-rc&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfDwMoC3SmDnvlYO9kh9YTiwa5Iu3cd6yXFSPq7piRn09Q&oe=64F8A0D7",17,,17,,0,2,13,3
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3183031811735153297",,2023-09-02 17:03,"https://scontent-lcy1-1.cdninstagram.com/v/t51.12442-15/372909962_235152225735884_2618732120933951212_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=C54WmxsF6IsAX_J_t-1&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfDrVPV2oQfxnhjUh7LOxoXO5cxndAR30vSxnG1l5iHcLA&oe=64F86AA1",18,,18,,0,3,16,1
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3183031315867824809",,2023-09-02 17:02,"https://scontent-lcy1-1.cdninstagram.com/v/t51.12442-15/373223573_1019553786037405_6341625347732105155_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rHCWGaqIid4AX-4Ockj&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfBV4yLkOMsE6PVraSiuG8dCxNUatOcbTSMNxvaZCgpqqQ&oe=64F8BDBB",21,,21,,0,0,17,3
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3183030812811378827",,2023-09-02 17:01,"https://scontent-lcy1-1.cdninstagram.com/v/t51.12442-15/372893519_1720102058438075_6266020549714066061_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=NJL6qTR0GgEAX_uuVlJ&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfCjCwPYQFNDRobPwc-5poUTNMg7SpUt8CVTm3IkdSgHPg&oe=64F883CF",21,,21,,0,1,16,2
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3183030356546451530",,2023-09-02 17:00,"https://scontent-lcy1-1.cdninstagram.com/v/t51.12442-15/374172930_983678332744674_2758586702245669378_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=vVaV7usB9u0AX9iwBrm&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfA6UHwb6IO8nVSzHwePoYzjDSS3BoelS_F4zVmdnRakSw&oe=64F7E360",24,,24,,0,1,17,1
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3182336745005672489",,2023-09-01 18:02,"https://scontent-lhr8-1.cdninstagram.com/v/t51.12442-15/374818951_855732319304715_96976084653862283_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=dpoPe1puymAAX8PTZJj&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfD8Z5QYKU2MytdyVHa7m79LBhad_A42s4uz2VdrmFtyfg&oe=64F6D362",16,,16,,0,0,14,2
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3182336243325002517",,2023-09-01 18:01,"https://scontent-lhr8-1.cdninstagram.com/v/t51.12442-15/372783756_302059072415267_1400385860102480708_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=d7nHIHu9Ze8AX_gMlEm&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfDQlBHadcG0ECWfnVjt6ZI92WlWDz-5Kk4GmWFGyUFtLw&oe=64F85C1C",17,,17,,0,0,14,0
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3182335804080685014",,2023-09-01 18:00,"https://scontent-lhr8-2.cdninstagram.com/v/t51.12442-15/372859094_3127961864015311_1098762462336594602_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=iqpCFf8A-S4AX8iWWha&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfCINPQSguSXeclwUUkaxfiw6YzUb2tqCfXqb3ZrTlsAyw&oe=64F7DCA6",18,,18,,0,0,13,3
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3181642479883450094",,2023-08-31 19:02,"https://scontent-lcy1-1.cdninstagram.com/v/t51.12442-15/373455553_2201541393368844_7022402075253711796_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=DtRyA_WxZjQAX8cS0pK&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfAvz-ZBuP9mSR8Bx39bOG7703zpZoLXJJb1an2GhRf4gw&oe=64F61DF0",19,,18,,0,2,13,4
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3181641890764489424",,2023-08-31 19:01,"https://scontent-lcy1-1.cdninstagram.com/v/t51.12442-15/372990877_602343318519722_353351905451077637_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=W8V0qbsMfywAX84a2FX&_nc_oc=AQlOqjFSVf27nS6t1hfSOpipW1tPLEWDaVmaTDueaXBbhlHsFfDm00Vs-k0-L6KuxWY&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfCVy6Eyrit_SkfKejUZ9aWp2rbF2BxSC2J5IbnPVhIRSg&oe=64F58A9E",19,,18,,0,2,15,1
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3181641256841132342",,2023-08-31 19:00,"https://scontent-lcy1-1.cdninstagram.com/v/t51.12442-15/372674201_852648956378609_6416840117767820208_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Cf6wjywsTdcAX-YBVDA&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfCSGApSz9xvwdcuLPAjjRH6CW_NUEMPEfdpF3zcDzSPtg&oe=64F6FCFC",25,,21,,0,1,17,4
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3179167987692686259",,2023-08-28 09:06,"https://scontent-lhr8-2.cdninstagram.com/v/t51.12442-15/370753869_829113455403991_838164311887527607_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=owOBW0y_PJcAX9nd_-_&_nc_ht=scontent-lhr8-2.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfAwmWWTxHPbk0l4VuHrfABg1UNGWygkxWUXpaBw4rMQeQ&oe=64F315CF",20,,20,,0,0,11,6
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3177143676123293254",,2023-08-25 14:04,"https://scontent-lcy1-1.cdninstagram.com/v/t51.12442-15/369747162_676722514329043_8908608241227266038_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=E2D7paD3OHoAX8eUZT8&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfCCoQRy_JiyEJJNBaPbbM0ckt-iPtcGgeUeyGiNWYIlxw&oe=64EEEBE4",28,,26,,0,2,13,10
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3175682030553200741",,2023-08-23 13:40,"https://scontent-lhr8-1.cdninstagram.com/v/t51.12442-15/369664513_305279065376252_4503929272534138130_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=NfhtmMOrBYgAX9reord&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfAqXdCyEed9cAOEvT39X2brL117EaoZ3YcSD_TNnslkBA&oe=64EB8B32",24,,22,,0,1,22,5
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3174288344736873128",,2023-08-21 15:31,"https://scontent-lhr8-1.cdninstagram.com/v/t51.12442-15/368478753_286078144161257_2854460347728149467_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rtJ4Gt5p_VgAX_fRrGu&_nc_ht=scontent-lhr8-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfCMTj9JmeIMjdBlYrX36BVjjx9JPrsAeu1NgBEKyP5NFg&oe=64E8FFA5",21,,21,,0,0,20,5
